hotel,arrival_date_year,is_canceled,lead_time,previous_cancellations,previous_bookings_not_canceled,booking_changes,total_of_special_requests,is_repeated_guest,deposit_type,reserved_room_type
Resort Hotel,2015,0,36,0,0,0,1,0,No Deposit,D
Resort Hotel,2015,1,43,0,0,0,0,0,No Deposit,D
Resort Hotel,2015,0,70,0,0,0,1,0,No Deposit,E
Resort Hotel,2015,1,45,0,0,0,0,0,No Deposit,G
Resort Hotel,2015,0,45,0,0,0,0,0,No Deposit,D
Resort Hotel,2015,0,16,0,0,0,0,0,No Deposit,F
Resort Hotel,2015,0,70,0,0,0,1,0,No Deposit,E
Resort Hotel,2015,0,107,0,0,0,2,0,No Deposit,A
Resort Hotel,2015,1,47,0,0,0,0,0,No Deposit,G
Resort Hotel,2015,0,96,0,0,0,1,0,No Deposit,A
Resort Hotel,2015,0,113,0,0,0,2,0,No Deposit,E
Resort Hotel,2015,0,90,0,0,1,0,0,No Deposit,A
Resort Hotel,2015,0,50,0,0,1,1,0,No Deposit,E
Resort Hotel,2015,0,113,0,0,0,2,0,No Deposit,D
Resort Hotel,2015,0,93,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,0,76,0,0,0,0,0,No Deposit,D
Resort Hotel,2015,0,3,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,0,1,0,0,0,0,0,No Deposit,H
Resort Hotel,2015,0,1,0,0,0,2,0,No Deposit,C
Resort Hotel,2015,0,0,0,0,0,0,0,No Deposit,H
Resort Hotel,2015,0,0,0,0,0,2,0,No Deposit,A
Resort Hotel,2015,0,0,0,0,0,0,0,No Deposit,G
Resort Hotel,2015,0,14,0,0,0,1,0,No Deposit,A
Resort Hotel,2015,0,10,0,0,0,0,0,No Deposit,G
Resort Hotel,2015,0,5,0,0,0,2,0,No Deposit,E
Resort Hotel,2015,0,17,0,0,0,1,0,No Deposit,F
Resort Hotel,2015,0,93,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,1,3,0,0,0,2,0,No Deposit,A
Resort Hotel,2015,0,10,0,0,0,0,0,No Deposit,G
Resort Hotel,2015,0,3,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,0,51,0,0,0,0,0,No Deposit,D
Resort Hotel,2015,1,71,0,0,0,2,0,No Deposit,A
Resort Hotel,2015,1,63,0,0,0,2,0,No Deposit,A
Resort Hotel,2015,1,62,0,0,0,1,0,No Deposit,D
Resort Hotel,2015,1,101,0,0,0,1,0,No Deposit,A
Resort Hotel,2015,0,2,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,0,15,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,1,51,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,0,3,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,1,48,0,0,0,0,0,No Deposit,E
Resort Hotel,2015,0,2,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,0,72,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,0,81,0,0,0,0,0,No Deposit,D
Resort Hotel,2015,0,99,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,1,368,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,0,364,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,1,81,0,0,2,1,0,No Deposit,A
Resort Hotel,2015,0,99,0,0,0,0,0,No Deposit,E
Resort Hotel,2015,0,324,0,0,0,0,0,No Deposit,E
Resort Hotel,2015,0,69,0,0,1,1,0,No Deposit,F
Resort Hotel,2015,1,79,0,0,0,2,0,No Deposit,A
Resort Hotel,2015,0,12,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,0,9,0,0,0,2,0,No Deposit,A
Resort Hotel,2015,0,1,0,0,0,1,0,No Deposit,A
Resort Hotel,2015,0,21,0,0,0,0,0,No Deposit,E
Resort Hotel,2015,0,9,0,0,0,0,0,No Deposit,C
Resort Hotel,2015,0,109,0,0,0,2,0,No Deposit,A
Resort Hotel,2015,1,109,0,0,0,1,0,No Deposit,A
Resort Hotel,2015,1,72,0,0,0,1,0,No Deposit,A
Resort Hotel,2015,1,63,0,0,0,1,0,No Deposit,F
Resort Hotel,2015,0,63,0,0,0,1,0,No Deposit,E
Resort Hotel,2015,0,101,0,0,0,2,0,No Deposit,D
Resort Hotel,2015,0,102,0,0,0,0,0,No Deposit,E
Resort Hotel,2015,0,4,0,0,0,1,0,No Deposit,A
Resort Hotel,2015,0,98,0,0,0,0,0,No Deposit,D
Resort Hotel,2015,0,92,0,0,0,2,0,No Deposit,F
Resort Hotel,2015,0,95,0,0,0,2,0,No Deposit,A
Resort Hotel,2015,0,102,0,0,0,1,0,No Deposit,E
Resort Hotel,2015,1,26,0,0,0,0,0,No Deposit,H
Resort Hotel,2015,1,73,0,0,0,1,0,No Deposit,D
Resort Hotel,2015,1,102,0,0,0,1,0,No Deposit,A
Resort Hotel,2015,0,115,0,0,0,1,0,No Deposit,A
Resort Hotel,2015,0,102,0,0,0,2,0,No Deposit,A
Resort Hotel,2015,0,86,0,0,0,2,0,No Deposit,D
Resort Hotel,2015,0,78,0,0,0,2,0,No Deposit,E
Resort Hotel,2015,0,52,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,0,29,0,0,0,1,0,No Deposit,E
Resort Hotel,2015,1,101,0,0,0,1,0,No Deposit,E
Resort Hotel,2015,0,109,0,0,0,1,0,No Deposit,A
Resort Hotel,2015,0,92,0,0,0,1,0,No Deposit,D
Resort Hotel,2015,0,92,0,0,0,1,0,No Deposit,D
Resort Hotel,2015,0,79,0,0,1,1,0,No Deposit,D
Resort Hotel,2015,0,2,0,0,1,0,0,No Deposit,H
Resort Hotel,2015,0,30,0,0,0,0,0,No Deposit,D
Resort Hotel,2015,1,51,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,1,36,0,0,1,0,0,No Deposit,E
Resort Hotel,2015,1,73,0,0,0,2,0,No Deposit,A
Resort Hotel,2015,1,33,0,0,0,0,0,No Deposit,D
Resort Hotel,2015,0,32,0,0,2,1,0,No Deposit,H
Resort Hotel,2015,0,8,0,0,0,0,0,No Deposit,E
Resort Hotel,2015,0,100,0,0,0,1,0,No Deposit,A
Resort Hotel,2015,0,1,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,0,100,0,0,0,2,0,No Deposit,A
Resort Hotel,2015,0,100,0,0,0,1,0,No Deposit,A
Resort Hotel,2015,0,9,0,0,0,1,0,No Deposit,A
Resort Hotel,2015,1,5,0,0,0,0,0,No Deposit,D
Resort Hotel,2015,0,0,0,0,1,0,0,No Deposit,A
Resort Hotel,2015,0,9,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,0,2,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,0,2,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,0,9,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,1,5,0,0,0,0,0,No Deposit,D
Resort Hotel,2015,0,2,0,0,0,1,0,No Deposit,G
Resort Hotel,2015,0,44,0,0,3,0,0,No Deposit,G
Resort Hotel,2015,0,80,0,0,0,0,0,No Deposit,D
Resort Hotel,2015,0,97,0,0,0,2,0,No Deposit,D
Resort Hotel,2015,0,109,0,0,0,2,0,No Deposit,A
Resort Hotel,2015,0,30,0,0,0,0,0,No Deposit,E
Resort Hotel,2015,0,64,0,0,0,0,0,No Deposit,E
Resort Hotel,2015,0,39,0,0,0,0,0,No Deposit,H
Resort Hotel,2015,0,90,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,1,34,0,0,0,0,0,No Deposit,H
Resort Hotel,2015,1,93,0,0,0,0,0,No Deposit,D
Resort Hotel,2015,0,97,0,0,1,1,0,No Deposit,C
Resort Hotel,2015,0,29,0,0,0,1,0,No Deposit,F
Resort Hotel,2015,1,101,0,0,0,1,0,No Deposit,A
Resort Hotel,2015,0,27,0,0,0,0,0,No Deposit,E
Resort Hotel,2015,0,8,0,0,1,1,0,No Deposit,H
Resort Hotel,2015,0,82,0,0,0,2,0,No Deposit,D
Resort Hotel,2015,0,94,0,0,3,1,0,No Deposit,D
Resort Hotel,2015,0,110,0,0,0,0,0,No Deposit,D
Resort Hotel,2015,0,96,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,0,79,0,0,0,0,0,No Deposit,D
Resort Hotel,2015,0,115,0,0,1,0,0,No Deposit,G
Resort Hotel,2015,0,111,0,0,0,2,0,No Deposit,A
Resort Hotel,2015,0,51,0,0,0,2,0,No Deposit,G
Resort Hotel,2015,0,94,0,0,0,1,0,No Deposit,D
Resort Hotel,2015,0,81,0,0,0,0,0,No Deposit,G
Resort Hotel,2015,0,84,0,0,1,2,0,No Deposit,D
Resort Hotel,2015,0,51,0,0,0,2,0,No Deposit,G
Resort Hotel,2015,0,111,0,0,0,2,0,No Deposit,A
Resort Hotel,2015,0,0,0,0,0,0,0,No Deposit,E
Resort Hotel,2015,0,2,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,0,7,0,0,0,2,0,No Deposit,A
Resort Hotel,2015,0,98,0,0,0,1,0,No Deposit,D
Resort Hotel,2015,0,95,0,0,0,1,0,No Deposit,D
Resort Hotel,2015,1,48,0,0,0,0,0,No Deposit,E
Resort Hotel,2015,0,66,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,0,104,0,0,1,1,0,No Deposit,A
Resort Hotel,2015,0,28,0,0,0,0,0,No Deposit,E
Resort Hotel,2015,0,34,0,0,0,0,0,No Deposit,F
Resort Hotel,2015,0,98,0,0,0,1,0,No Deposit,A
Resort Hotel,2015,0,104,0,0,1,0,0,No Deposit,E
Resort Hotel,2015,0,68,0,0,0,0,0,No Deposit,G
Resort Hotel,2015,1,86,0,0,0,1,0,No Deposit,A
Resort Hotel,2015,0,258,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,0,111,0,0,0,1,0,No Deposit,A
Resort Hotel,2015,1,94,0,0,0,0,0,No Deposit,D
Resort Hotel,2015,0,112,0,0,0,1,0,No Deposit,A
Resort Hotel,2015,0,100,0,0,1,1,0,No Deposit,D
Resort Hotel,2015,0,33,0,0,5,1,0,No Deposit,F
Resort Hotel,2015,0,97,0,0,0,2,0,No Deposit,D
Resort Hotel,2015,0,80,0,0,1,0,0,No Deposit,A
Resort Hotel,2015,0,90,0,0,0,0,0,No Deposit,D
Resort Hotel,2015,0,111,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,0,65,0,0,0,0,0,No Deposit,D
Resort Hotel,2015,1,67,0,0,0,1,0,No Deposit,A
Resort Hotel,2015,0,55,0,0,0,2,0,No Deposit,A
Resort Hotel,2015,0,21,0,0,0,1,0,No Deposit,F
Resort Hotel,2015,0,8,0,0,0,1,0,No Deposit,A
Resort Hotel,2015,0,8,0,0,0,1,0,No Deposit,A
Resort Hotel,2015,0,0,0,0,0,3,0,No Deposit,A
Resort Hotel,2015,0,0,0,0,0,0,0,No Deposit,C
Resort Hotel,2015,0,0,0,0,0,3,0,No Deposit,A
Resort Hotel,2015,0,8,0,0,2,1,0,No Deposit,H
Resort Hotel,2015,0,66,0,0,0,2,0,No Deposit,D
Resort Hotel,2015,0,88,0,0,0,1,0,No Deposit,D
Resort Hotel,2015,0,0,0,0,2,0,0,No Deposit,A
Resort Hotel,2015,1,43,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,1,88,0,0,0,2,0,No Deposit,E
Resort Hotel,2015,0,54,0,0,0,0,0,No Deposit,D
Resort Hotel,2015,1,292,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,0,112,0,0,0,1,0,No Deposit,D
Resort Hotel,2015,0,68,0,0,0,1,0,No Deposit,E
Resort Hotel,2015,0,7,0,0,0,2,0,No Deposit,A
Resort Hotel,2015,0,1,0,0,0,1,0,No Deposit,A
Resort Hotel,2015,1,113,0,0,0,1,0,No Deposit,A
Resort Hotel,2015,0,5,0,0,0,1,0,No Deposit,D
Resort Hotel,2015,0,83,0,0,0,1,0,No Deposit,A
Resort Hotel,2015,1,105,0,0,0,1,0,No Deposit,A
Resort Hotel,2015,0,0,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,1,1,0,0,0,1,0,No Deposit,A
Resort Hotel,2015,1,1,0,0,0,1,0,No Deposit,A
Resort Hotel,2015,0,1,0,0,0,1,0,No Deposit,A
Resort Hotel,2015,1,102,0,0,0,1,0,No Deposit,A
Resort Hotel,2015,0,113,0,0,1,1,0,No Deposit,E
Resort Hotel,2015,1,280,0,0,0,1,0,No Deposit,D
Resort Hotel,2015,0,96,0,0,0,1,0,No Deposit,E
Resort Hotel,2015,0,394,0,0,0,0,0,No Deposit,D
Resort Hotel,2015,0,33,0,0,0,0,0,No Deposit,E
Resort Hotel,2015,0,82,0,0,0,1,0,No Deposit,A
Resort Hotel,2015,0,100,0,0,1,3,0,No Deposit,E
Resort Hotel,2015,0,100,0,0,0,2,0,No Deposit,E
Resort Hotel,2015,0,17,0,0,0,3,0,No Deposit,C
Resort Hotel,2015,0,68,0,0,0,1,0,No Deposit,A
Resort Hotel,2015,0,12,0,0,2,0,0,No Deposit,H
Resort Hotel,2015,1,77,0,0,0,0,0,No Deposit,D
Resort Hotel,2015,1,24,0,0,0,1,0,No Deposit,C
Resort Hotel,2015,1,44,0,0,0,0,0,No Deposit,G
Resort Hotel,2015,0,78,0,0,0,2,0,No Deposit,A
Resort Hotel,2015,1,17,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,1,103,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,0,16,0,0,0,1,0,No Deposit,A
Resort Hotel,2015,0,14,0,0,0,1,0,No Deposit,A
Resort Hotel,2015,0,77,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,0,90,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,0,90,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,0,90,0,0,0,0,0,No Deposit,E
Resort Hotel,2015,0,366,0,0,0,0,0,No Deposit,E
Resort Hotel,2015,0,249,0,0,0,1,0,No Deposit,A
Resort Hotel,2015,1,69,0,0,0,2,0,No Deposit,A
Resort Hotel,2015,0,10,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,0,22,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,0,91,0,0,0,1,0,No Deposit,A
Resort Hotel,2015,0,23,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,0,11,0,0,0,1,0,No Deposit,A
Resort Hotel,2015,0,3,0,0,0,1,0,No Deposit,A
Resort Hotel,2015,0,13,0,0,2,1,0,No Deposit,G
Resort Hotel,2015,0,108,0,0,1,2,0,No Deposit,D
Resort Hotel,2015,0,91,0,0,0,1,0,No Deposit,A
Resort Hotel,2015,0,37,0,0,0,1,0,No Deposit,C
Resort Hotel,2015,0,21,0,0,0,1,0,No Deposit,A
Resort Hotel,2015,0,106,0,0,0,2,0,No Deposit,E
Resort Hotel,2015,0,30,0,0,0,1,0,No Deposit,F
Resort Hotel,2015,0,30,0,0,0,1,0,No Deposit,F
Resort Hotel,2015,1,51,0,0,0,0,0,No Deposit,E
Resort Hotel,2015,0,79,0,0,0,2,0,No Deposit,A
Resort Hotel,2015,0,21,0,0,1,3,0,No Deposit,C
Resort Hotel,2015,0,35,0,0,0,0,0,No Deposit,G
Resort Hotel,2015,0,78,0,0,1,2,0,No Deposit,A
Resort Hotel,2015,0,31,0,0,1,1,0,No Deposit,D
Resort Hotel,2015,0,78,0,0,1,2,0,No Deposit,D
Resort Hotel,2015,0,78,0,0,1,2,0,No Deposit,E
Resort Hotel,2015,0,44,0,0,2,0,0,No Deposit,E
Resort Hotel,2015,0,34,0,0,0,3,0,No Deposit,F
Resort Hotel,2015,0,87,0,0,0,2,0,No Deposit,C
Resort Hotel,2015,0,11,0,0,0,0,0,No Deposit,C
Resort Hotel,2015,0,115,0,0,0,2,0,No Deposit,A
Resort Hotel,2015,0,86,0,0,0,0,0,No Deposit,D
Resort Hotel,2015,0,41,0,0,0,0,0,No Deposit,F
Resort Hotel,2015,0,32,0,0,0,0,0,No Deposit,C
Resort Hotel,2015,0,34,0,0,0,3,0,No Deposit,D
Resort Hotel,2015,0,34,0,0,0,1,0,No Deposit,F
Resort Hotel,2015,1,100,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,0,44,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,0,304,0,0,1,1,0,No Deposit,A
Resort Hotel,2015,1,36,0,0,0,0,0,No Deposit,E
Resort Hotel,2015,0,117,0,0,0,1,0,No Deposit,D
Resort Hotel,2015,0,70,0,0,0,2,0,No Deposit,A
Resort Hotel,2015,0,110,0,0,0,1,0,No Deposit,E
Resort Hotel,2015,1,109,0,0,0,1,0,No Deposit,A
Resort Hotel,2015,0,33,0,0,0,1,0,No Deposit,E
Resort Hotel,2015,0,33,0,0,0,0,0,No Deposit,E
Resort Hotel,2015,0,33,0,0,1,0,0,No Deposit,E
Resort Hotel,2015,0,0,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,0,0,0,0,1,1,0,No Deposit,A
Resort Hotel,2015,0,0,0,0,0,0,0,No Deposit,G
Resort Hotel,2015,0,0,0,0,0,1,0,No Deposit,A
Resort Hotel,2015,0,84,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,0,71,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,0,16,0,0,0,1,0,No Deposit,C
Resort Hotel,2015,0,54,0,0,0,0,0,No Deposit,E
Resort Hotel,2015,0,8,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,0,36,0,0,0,0,0,No Deposit,D
Resort Hotel,2015,0,40,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,1,59,0,0,0,2,0,No Deposit,D
Resort Hotel,2015,0,79,0,0,1,0,0,No Deposit,G
Resort Hotel,2015,0,32,0,0,1,0,0,No Deposit,E
Resort Hotel,2015,0,110,0,0,0,1,0,No Deposit,A
Resort Hotel,2015,0,33,0,0,0,0,0,No Deposit,E
Resort Hotel,2015,0,53,0,0,0,0,0,No Deposit,G
Resort Hotel,2015,0,2,0,0,0,2,0,No Deposit,A
Resort Hotel,2015,0,8,0,0,0,2,0,No Deposit,A
Resort Hotel,2015,1,72,0,0,0,2,0,No Deposit,A
Resort Hotel,2015,0,12,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,0,48,0,0,0,1,0,No Deposit,D
Resort Hotel,2015,0,90,0,0,0,1,0,No Deposit,A
Resort Hotel,2015,0,34,0,0,1,1,0,No Deposit,D
Resort Hotel,2015,1,58,0,0,0,1,0,No Deposit,C
Resort Hotel,2015,0,59,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,0,90,0,0,0,2,0,No Deposit,A
Resort Hotel,2015,0,116,0,0,0,0,0,No Deposit,E
Resort Hotel,2015,0,31,0,0,0,0,0,No Deposit,D
Resort Hotel,2015,1,51,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,0,48,0,0,0,1,0,No Deposit,D
Resort Hotel,2015,0,59,0,0,0,2,0,No Deposit,E
Resort Hotel,2015,1,97,0,0,0,1,0,No Deposit,E
Resort Hotel,2015,0,12,0,0,0,2,0,No Deposit,A
Resort Hotel,2015,0,64,0,0,0,1,0,No Deposit,A
Resort Hotel,2015,0,31,0,0,0,0,0,No Deposit,D
Resort Hotel,2015,0,59,0,0,0,1,0,No Deposit,A
Resort Hotel,2015,1,55,0,0,2,1,0,No Deposit,D
Resort Hotel,2015,0,81,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,0,1,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,0,34,0,0,0,1,0,No Deposit,G
Resort Hotel,2015,0,13,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,0,40,0,0,0,0,0,No Deposit,F
Resort Hotel,2015,0,1,0,0,0,1,0,No Deposit,A
Resort Hotel,2015,0,34,0,0,0,1,0,No Deposit,A
Resort Hotel,2015,0,88,0,0,1,0,0,No Deposit,D
Resort Hotel,2015,0,9,0,0,0,3,0,No Deposit,A
Resort Hotel,2015,1,24,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,0,97,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,0,60,0,0,2,2,0,No Deposit,E
Resort Hotel,2015,0,100,0,0,0,1,0,No Deposit,G
Resort Hotel,2015,0,50,0,0,0,0,0,No Deposit,D
Resort Hotel,2015,1,47,0,0,0,0,0,No Deposit,F
Resort Hotel,2015,0,8,0,0,0,1,0,No Deposit,H
Resort Hotel,2015,0,34,0,0,0,0,0,No Deposit,D
Resort Hotel,2015,0,47,0,0,0,0,0,No Deposit,G
Resort Hotel,2015,0,115,0,0,1,2,0,No Deposit,A
Resort Hotel,2015,1,79,0,0,0,1,0,No Deposit,A
Resort Hotel,2015,0,91,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,0,98,0,0,0,3,0,No Deposit,A
Resort Hotel,2015,0,109,0,0,0,1,0,No Deposit,A
Resort Hotel,2015,0,0,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,0,98,0,0,0,3,0,No Deposit,A
Resort Hotel,2015,0,0,0,0,0,0,0,No Deposit,L
Resort Hotel,2015,0,9,0,0,0,2,0,No Deposit,A
Resort Hotel,2015,0,62,0,0,0,2,0,No Deposit,A
Resort Hotel,2015,1,45,0,0,0,0,0,No Deposit,E
Resort Hotel,2015,0,42,0,0,0,0,0,No Deposit,D
Resort Hotel,2015,0,54,0,0,0,1,0,No Deposit,A
Resort Hotel,2015,0,51,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,0,54,0,0,0,1,0,No Deposit,A
Resort Hotel,2015,0,58,0,0,2,1,0,No Deposit,E
Resort Hotel,2015,0,0,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,1,60,0,0,0,0,0,No Deposit,D
Resort Hotel,2015,1,321,0,0,0,1,0,No Deposit,A
Resort Hotel,2015,0,40,0,0,0,2,0,No Deposit,D
Resort Hotel,2015,1,51,0,0,0,0,0,No Deposit,D
Resort Hotel,2015,0,38,0,0,0,0,0,No Deposit,D
Resort Hotel,2015,1,75,0,0,0,1,0,No Deposit,D
Resort Hotel,2015,0,101,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,1,42,0,0,0,0,0,No Deposit,D
Resort Hotel,2015,0,40,0,0,0,2,0,No Deposit,D
Resort Hotel,2015,0,109,0,0,0,1,0,No Deposit,E
Resort Hotel,2015,1,81,0,0,0,2,0,No Deposit,A
Resort Hotel,2015,1,98,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,0,32,0,0,2,0,0,No Deposit,D
Resort Hotel,2015,0,72,0,0,0,2,0,No Deposit,A
Resort Hotel,2015,0,115,0,0,0,2,0,No Deposit,A
Resort Hotel,2015,0,118,0,0,0,1,0,No Deposit,D
Resort Hotel,2015,0,81,0,0,0,2,0,No Deposit,E
Resort Hotel,2015,1,95,0,0,0,1,0,No Deposit,A
Resort Hotel,2015,0,16,0,0,0,3,0,No Deposit,A
Resort Hotel,2015,0,56,0,0,1,0,0,No Deposit,A
Resort Hotel,2015,0,88,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,0,41,0,0,0,2,0,No Deposit,D
Resort Hotel,2015,1,40,0,0,0,0,0,No Deposit,D
Resort Hotel,2015,0,1,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,0,1,0,0,2,1,0,No Deposit,A
Resort Hotel,2015,0,1,0,0,1,1,0,No Deposit,D
Resort Hotel,2015,1,76,0,0,0,2,0,No Deposit,E
Resort Hotel,2015,0,0,0,0,0,1,0,No Deposit,A
Resort Hotel,2015,0,49,0,0,1,2,0,No Deposit,E
Resort Hotel,2015,0,76,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,0,73,0,0,0,1,0,No Deposit,A
Resort Hotel,2015,0,73,0,0,0,2,0,No Deposit,E
Resort Hotel,2015,0,317,0,0,1,2,0,No Deposit,H
Resort Hotel,2015,1,112,0,0,0,1,0,No Deposit,A
Resort Hotel,2015,0,6,0,0,0,2,0,No Deposit,A
Resort Hotel,2015,0,8,0,0,1,1,0,No Deposit,A
Resort Hotel,2015,1,96,0,0,0,1,0,No Deposit,A
Resort Hotel,2015,1,96,0,0,0,1,0,No Deposit,A
Resort Hotel,2015,0,99,0,0,0,1,0,No Deposit,A
Resort Hotel,2015,0,66,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,0,38,0,0,0,2,0,No Deposit,D
Resort Hotel,2015,0,38,0,0,1,2,0,No Deposit,D
Resort Hotel,2015,0,113,0,0,1,3,0,No Deposit,H
Resort Hotel,2015,0,0,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,1,62,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,1,39,0,0,0,0,0,No Deposit,D
Resort Hotel,2015,0,37,0,0,0,0,0,No Deposit,D
Resort Hotel,2015,1,58,0,0,0,0,0,No Deposit,D
Resort Hotel,2015,0,37,0,0,0,0,0,No Deposit,H
Resort Hotel,2015,0,57,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,0,57,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,0,57,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,0,57,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,0,57,0,0,0,0,0,No Deposit,A
Resort Hotel,2015,0,83,0,0,0,1,0,No Deposit,G
